t_ax,iabc_1,iabc_2,iabc_3
0,-238.299813329646,336.799121957965,-98.4992135647124
0.00010000000000332,-240.908429827009,342.314278738839,-101.406005859375
0.000200000000006639,-250.781302315848,331.415666852679,-80.6343209402902
0.000299999999995748,-270.660958426339,319.856584821429,-49.1955392020089
0.000399999999999068,-275.908894496681,312.915237831858,-37.0063174087389
0.000500000000002387,-273.448556082589,316.811453683036,-43.3629193987165
0.000600000000005707,-276.374005998884,318.361746651786,-41.9877624511719
0.000699999999994816,-282.098831581858,307.211006637168,-25.1121815369192
0.000799999999998136,-300.067305033186,293.870782632743,6.19643489871405
0.000900000000001455,-303.802036830357,284.063511439732,19.738525390625
0.00100000000000477,-302.925083705357,282.008998325893,20.9160570417132
0.00109999999999388,-306.068653207965,279.257518667035,26.8111885543418
0.0011999999999972,-306.811837332589,268.016322544643,38.7955889020647
0.00130000000000052,-318.628278459821,257.143624441964,61.4846976143973
0.00140000000000384,-320.807245575221,245.467851216814,75.339368431969
0.00149999999999295,-321.800642975664,240.096429065265,81.7041706996681
0.00159999999999627,-324.858293805804,236.558750697545,88.2995431082589
0.00169999999999959,-321.371547154018,229.292027064732,92.0794852120536
0.00180000000000291,-326.833379424779,225.604483545354,101.228982300885
0.00190000000000623,-324.160191127232,214.673531668527,109.486711774554
0.00199999999999534,-323.791922433036,203.108084542411,120.683776855469
0.00209999999999866,-326.874302455357,195.537126813616,131.337079729353
0.00220000000000198,-326.674882466814,191.325359513274,135.349462458518
0.0023000000000053,-336.577183314732,195.413609095982,141.163504464286
0.00239999999999441,-332.604282924107,182.974574497768,149.629760742188
0.00249999999999773,-325.498375276549,160.318342090708,165.180085038717
0.00260000000000105,-323.909702845982,145.885035923549,178.024710518973
0.00270000000000437,-323.814662388393,143.846993582589,179.967651367188
0.00279999999999347,-334.907470703125,153.32568359375,181.581769670759
0.00289999999999679,-331.238384955752,143.377272884403,187.861120713496
0.00300000000000011,-319.459158761161,113.784851074219,205.674246651786
0.00310000000000343,-314.055733816964,94.2821219308036,219.773699079241
0.00320000000000675,-313.984651548673,94.4842885785398,219.500224695796
0.00329999999999586,-323.751708984375,104.438991001674,219.312744140625
0.00339999999999918,-319.950544084821,96.9640764508928,222.986432756696
